fraudulent_name,real_name,label,max_similarity,predicted_label,error_type
Ꭹ𝗲𝘐𝐈𝗈ᴡ,Yellow,1,0.8979971,0,false_negative
President,Yellow,0,0.9134393,1,false_positive
Westvleteren,TWG Tea Company,0,0.9266708,1,false_positive
𝘼𝑐ne,Acne,1,0.85959697,0,false_negative
Ꭰ𝔎ℕ𝝪,DKNY,1,0.9052843,0,false_negative
Ꮶ𝗹ⲟℼ𝖉𝛊k℮,Klondike,1,0.8651026,0,false_negative
Schwan's,Spray ân Wash,0,0.9316939,1,false_positive
Ⲥ𝛐tt,Cott,1,0.88207763,0,false_negative
Persil,Absolut,0,0.91751677,1,false_positive
Westpac New Zealand,BabyGap,0,0.9254422,1,false_positive
LÃ¶wenbrÃ¤u,Itaipava,0,0.913005,1,false_positive
𝘿IΑ,DIA,1,0.86640155,0,false_negative
Alcatel,Kurnia,0,0.9203266,1,false_positive
𝕷α𝓴𝒆𝑝סr𝔱 Вrewing Com𝝔𝑎n𝜸,Lakeport Brewing Company,1,0.88666725,0,false_negative
iPod,Persil,0,0.94294393,1,false_positive
Sam Adams,Tenaris,0,0.91334873,1,false_positive
Book,Annedd'ale,0,0.9109406,1,false_positive
Rolex,Temax,0,0.9214677,1,false_positive
Fruit of the Loom,Abercrombie & Fitch,0,0.92160094,1,false_positive
Stanley Steemer,Rite Aid,0,0.91631764,1,false_positive
Valtrex,SNS REAAL,0,0.9161117,1,false_positive
Saint-Gobain S.A.,Qvale,0,0.914062,1,false_positive
𝙍ege𝟉t,Regent,1,0.88841635,0,false_negative
𝑾𝕖𝛕 𝐎𝛡е𝔰,Wet Ones,1,0.90572345,0,false_negative
E.ON,Gen-i,0,0.91529953,1,false_positive
K9 Advantix,Banco Rio de la Plata SA,0,0.9117057,1,false_positive
Heineken,Fluor,0,0.93730843,1,false_positive
𝓐𝔯i𝓇α𝜛g,Arirang,1,0.89026004,0,false_negative
𝘏Iᕼ Iпѕ𝗎𝚛𝒶n𝒄e,HIH Insurance,1,0.85895234,0,false_negative
𝙱Ã¶h𝐈𝕖𝒓−𝖀𝒹𝘥eհo𝗹𝑚,BÃ¶hler-Uddeholm,1,0.90917885,0,false_negative
Chinachem Group,Schooner Lager,0,0.9271997,1,false_positive
Teck Cominco,Invisalign,0,0.9172449,1,false_positive
Lexus,Nestea,0,0.915668,1,false_positive
𝘋𝓻𝒑er𝗌,Drpers,1,0.9099729,0,false_negative
𝘽𝐏,BP,1,0.9038286,0,false_negative
Tr௦jａ𝞹,Trojan,1,0.901848,0,false_negative
𝖠𝓘￨е𝓃𝒔,Allens,1,0.8947912,0,false_negative
𝒜N𝚻1 G𝚛o𝔲ρ,ANT1 Group,1,0.90742797,0,false_negative
𝙴Ｉ𝐟𝖎𝓃 𝐂𝒂ᴦs,Elfin Cars,1,0.90647614,0,false_negative
X3M,MÃ¡quina de Vendas,0,0.91522074,1,false_positive
Axis Bank,Victa lawn mower,0,0.9147896,1,false_positive
Martha Stewart Living,Luigi Bosca Reserve,0,0.91898793,1,false_positive
𝓖ᴦ𝕖𝚎𝜋 𝔊𝝸𝛂𝛡𝑡,Green Giant,1,0.8918569,0,false_negative
NyQuil,De Bortoli Wines,0,0.9124019,1,false_positive
𝖲т𝘢ⲅ 𝖢𝘩𝚊𝝅𝜛𝒆∣,Star Channel,1,0.8740977,0,false_negative
Propellerhead Software,Old Spice,0,0.916805,1,false_positive
𝕹ɑ𝔱𝒾𝐨𝛑𝕨𝜄𝒅𝐞,Nationwide,1,0.9102488,0,false_negative
𝕬𝒍𝟷 𝘚t𝒂𝚛,All Star,1,0.8615664,0,false_negative
Eа𝜏𝗈𝒏,Eaton,1,0.90690136,0,false_negative
𝜜𝓦𝜝 Li𝗺i𝘁ℯ𝒹,AWB Limited,1,0.90362257,0,false_negative
Liquid Paper,ITT Technical Institute,0,0.9132872,1,false_positive
Whittaker's,Kibbles ân Bits,0,0.916205,1,false_positive
Nintendo,CIMB,0,0.92639184,1,false_positive
𝐶ⲟ𝔯𝚍𝐞𝗅𝙄 𝘐𝛡𝕗०𝖗𝔪α𝘵Ꭵ٥𝕟,Cordell Information,1,0.87931174,0,false_negative
𝟊l𝑖gհt ꓚe𝜛𝛕𝑟𝑒,Flight Centre,1,0.8988656,0,false_negative
𝓐𝘂𝒸Ꮒ𝝰𝛡,Auchan,1,0.9007322,0,false_negative
Ortho Tri-Cyclen,Molson Export,0,0.91345733,1,false_positive
Peroni,Frooti,0,0.9325225,1,false_positive
Brasil Foods,Tonka,0,0.91390043,1,false_positive
𝐿eᕁυs,Lexus,1,0.8986512,0,false_negative
Rebel,Lexus,0,0.9221689,1,false_positive
Telecom Italia Mobile,Lufthansa,0,0.91439474,1,false_positive
Swedish Fish,Papa John's,0,0.9193841,1,false_positive
𝜨𝑹ꓟ𝐴,NRMA,1,0.90806574,0,false_negative
𝕲ꓔ,GT,1,0.8856404,0,false_negative
𝐇𝗎g𝑔𝚒e𝕤,Huggies,1,0.8918413,0,false_negative
𝐒𝕦aѵe,Suave,1,0.8873467,0,false_negative
𝕎he𝗮tables,Wheatables,1,0.8832567,0,false_negative
𝘟-Men,X-Men,1,0.8878182,0,false_negative
Xigmatek,Quiksilver,0,0.9202689,1,false_positive
𝙕𝚎𝓉a,Zeta,1,0.8868644,0,false_negative
Domino's Pizza,Royal Bank of Scotland,0,0.9127354,1,false_positive
𝘗ಂ𝟭𝚊𝗿,Polar,1,0.8959167,0,false_negative
Inraero,Polar,0,0.9204941,1,false_positive
𝗕log,Blog,1,0.9013875,0,false_negative
Cointreau,Altos Del Plata,0,0.91250193,1,false_positive
𝛨ℯ𝐫𝕓𝞪ℐ 𝔼ѕ𝑠𝖊ℼ𝙘е𝒔,Herbal Essences,1,0.8987092,0,false_negative
Xigmatek,Herbal Essences,0,0.9197842,1,false_positive
TiVo,Travelocity,0,0.929504,1,false_positive
𝗔сⅇ 𝑹𝖺𝗱ℹ𝗼,Ace Radio,1,0.8902914,0,false_negative
𝑨𝙧𝕥 ℓ𝗇stᎥ𝕥ute I𝞏te𝕣ռ𝛂t𝞲𝖔𝝅a𝓵,Art Institute International,1,0.8976245,0,false_negative
𝑆т𝝰𝙩еꜱm𝞪𝛑,Statesman,1,0.86025923,0,false_negative
𝐀𝔫𝔤e𝜤 𝑺௦𝐟𝜏,Angel Soft,1,0.89633787,0,false_negative
WellPoint,Crayola,0,0.93108034,1,false_positive
𝓣ⅈ𝒹𝝲 Ｃ𝚊𝓽𝕤,Tidy Cats,1,0.89922017,0,false_negative
𝑳𝑎𝓯𝔣ү ⟙𝛼𝙛𝔣𝝲,Laffy Taffy,1,0.90031856,0,false_negative
Merida,Murrays,0,0.93638396,1,false_positive
Ꭹ𝘛𝘕,YTN,1,0.9039508,0,false_negative
𝙋ɑⲥi𝒇ιｃa,Pacifica,1,0.85913426,0,false_negative
𝚳i𝙘ᴦ𝜊sof𝞽,Microsoft,1,0.90422785,0,false_negative
𝑫eW𝑨L𝑇,DeWALT,1,0.88707227,0,false_negative
𝖬YOB,MYOB,1,0.8789929,0,false_negative
𝜯acℴ𝗺а,Tacoma,1,0.8890036,0,false_negative
Merida,Tacoma,0,0.9128296,1,false_positive
𝐏𝒐𝑤𝗲𝒓Ᏼ𝘢𝘳,PowerBar,1,0.89220697,0,false_negative
𝛭uⲅａ𝛑ಂ,Murano,1,0.9004142,0,false_negative
ꓮ1Տ,AIS,1,0.8940369,0,false_negative
ᑭO𝘚ℂ𝐎,POSCO,1,0.8776697,0,false_negative
𝝖Ⅰℐｓт𝖊𝙚𝟙,Allsteel,1,0.88727164,0,false_negative
𝐒ρߊi𝗰𝚎,Splice,1,0.8929578,0,false_negative
𝑳𝚎𝙖𝒹𝐞𝚛 𝖯𝔯𝗶𝚌𝐞,Leader Price,1,0.89035803,0,false_negative
Kcel,KitchenAid,0,0.91112775,1,false_positive
⟙𝘳ι𝓿iaⅠ 𝜬սrs𝜐𝓲𝕥,Trivial Pursuit,1,0.90423316,0,false_negative
Holiday Inn,HermÃ©s,0,0.9281678,1,false_positive
T𝘳oǀ￨ｅ𝘳,Troller,1,0.90090925,0,false_negative
𝕋𝑒𝕤ｃｏ,Tesco,1,0.8531532,0,false_negative
Vogue,Vespa,0,0.9123266,1,false_positive
I Love Biscuits,Lowes Menswear,0,0.9108479,1,false_positive
Acindar SA,Fanta,0,0.9163996,1,false_positive
ꓙ𝒐𝔫ℯ𝔰 𝒩𝒆vv 𝒀𝞂ᴦ𝞳,Jones New York,1,0.9024681,0,false_negative
Harry Potter,Medtronic,0,0.9211411,1,false_positive
9,Albertsons,0,0.9162288,1,false_positive
𝘋ow𝟉𝓎,Downy,1,0.8886207,0,false_negative
𝑬g𝗴o,Eggo,1,0.8887134,0,false_negative
𝙉oᕁ𝕫𝕖𝓂𝒂,Noxzema,1,0.90700155,0,false_negative
𝕿o𝘳𝙤𝝅𝝉၀-ⅅοʍӏ𝝕𝜾ಂ𝓷 Ban𝞳,Toronto-Dominion Bank,1,0.9045917,0,false_negative
Matchbox,Dramamine,0,0.9331348,1,false_positive
Ꮯ𝖊𝔫𝗈𝔳𝘂ｓ 𝙀𝓷𝙚𝑟𝘨𝙮,Cenovus Energy,1,0.8961961,0,false_negative
𝘌vian,Evian,1,0.8808757,0,false_negative
Elmer Fudd,Malvern Star,0,0.9202684,1,false_positive
Tally-Ho,Chanel,0,0.91675365,1,false_positive
𝐁ᎩD,BYD,1,0.9025426,0,false_negative
Zanussi,Pepto-Bismol,0,0.91843367,1,false_positive
Moulinex,Healthy Choice,0,0.9205929,1,false_positive
Onida,John Frida,0,0.92871517,1,false_positive
𝘗ιⲒ𝘰𝝉,Pilot,1,0.88950366,0,false_negative
TrimSpa,BASF,0,0.92456436,1,false_positive
𝖯Ꭵᴑ𝑛𝒆𝖊𝖗,Pioneer,1,0.89460355,0,false_negative
Naturalizer,Elantra,0,0.91931856,1,false_positive
𝐸𝑫𝔉 E|𝐞𝑐𝜏𝒓𝓲c,EDF Electric,1,0.8983108,0,false_negative
𝔈l𝛎o,Elvo,1,0.88273746,0,false_negative
Empire State Building,Land O'Lakes,0,0.92325014,1,false_positive
𝐋а𝟉ⅾ𝓸𝕣 ꝸ 𝞖𝔞𝔴𝖺,Landor & Hawa,1,0.89162934,0,false_negative
𝔏evia𝓉han,Leviathan,1,0.90960306,0,false_negative
𝙍ᴏƍⅇ𝔯𝚜,Rogers,1,0.8835832,0,false_negative
ℛ𝑩𝙎,RBS,1,0.9096864,0,false_negative
𝘙𝖾𝝔𝓼𝗼ǀ,Repsol,1,0.89058197,0,false_negative
Qvale,Cinnamon Toast Crunch,0,0.9251136,1,false_positive
Corsendonk Pater Noster,Cococontacts Pty Ltd,0,0.94333494,1,false_positive
IOPE,Shiseido,0,0.91238886,1,false_positive
Rimmel,Spinbrush,0,0.91450536,1,false_positive
Netflix,Ray-Ban,0,0.9210857,1,false_positive
𝓔𝞽Ꮒ⍳𝓬ａו 𝓞𝗰𝔢аո,Ethical Ocean,1,0.894243,0,false_negative
ℋ૦l𝓵𝚤𝘀𝖙𝖾r,Hollister,1,0.9102017,0,false_negative
Pearl Vision,SociÃ©tÃ© GÃ©nÃ©rale,0,0.9129091,1,false_positive
Speed Stick,Hefty,0,0.9154554,1,false_positive
𝑶MO,OMO,1,0.8936622,0,false_negative
Rainbow Brite,Empire State Building,0,0.9181962,1,false_positive
𝔐o𝐭el 6,Motel 6,1,0.903675,0,false_negative
Crayola,Motel 6,0,0.94643635,1,false_positive
𝑩𝖆να𝐫𝛊𝗮,Bavaria,1,0.9070394,0,false_negative
Naturalizer,Nuvaring,0,0.91398644,1,false_positive
𝘏𝒂˛𝓃𝙖𝖓 Ａⅰ𝓻𝗅𝕚𝞏еѕ,Hainan Airlines,1,0.8718124,0,false_negative
𝚂𝙥ℯ𝗇𝙘𝑒ⲅ,Spencer,1,0.8960861,0,false_negative
Linguistically Based,Naraya,0,0.915837,1,false_positive
TCell,Theraflu,0,0.91831654,1,false_positive
𝕬∣l,All,1,0.87544864,0,false_negative
𝙱і𝓶𝖻𝓸,Bimbo,1,0.9004415,0,false_negative
𝑌𝘛𝖫,YTL,1,0.90610445,0,false_negative
𝑪𝗵u𝜛ƍhաa 𝒯elecоrn C𝘰,Chunghwa Telecom Co,1,0.8993999,0,false_negative
Queiroz GalvÃ£,Ford Motor,0,0.9323643,1,false_positive
Alumina Limited,National Grid,0,0.916569,1,false_positive
𝔸xis Bank,Axis Bank,1,0.85050005,0,false_negative
Antares,CNP Assurances,0,0.9108633,1,false_positive
ꓪ٥о𝔡𝒔 𝗕αցσ𝒕,Woods Bagot,1,0.9086995,0,false_negative
Allplastics,Four Loko,0,0.91882235,1,false_positive
𝙎𝖎𝝿a,Sina,1,0.88726604,0,false_negative
Star Wars,Greenpeace,0,0.9286258,1,false_positive
𝗜𝔐A𝐗,IMAX,1,0.87034446,0,false_negative
La Chouffe,U.S. Airways,0,0.915934,1,false_positive
𝔖𝔲𝚗lɩ𝔤h𝜏,Sunlight,1,0.90818805,0,false_negative
𝔐⍺cleaℼs,Macleans,1,0.8790082,0,false_negative
𝕳&R Blᴏck,H&R Block,1,0.8877002,0,false_negative
In.gr,H&R Block,0,0.9354164,1,false_positive
ComgÃ¡s,Clear Channel Communications,0,0.91594046,1,false_positive
𝔖a𝖿𝑒τℽ 𝘈𝛖ƽτ𝐫𝔞Ⅰⅰа,Safety Australia,1,0.9073642,0,false_negative
Ꭺν𝙚𝘥𝑎,Aveda,1,0.904335,0,false_negative
𝘚i𝘦𝒏𝛡𝛂,Sienna,1,0.91039085,0,false_negative
𝔅a𝐢𝒹u,Baidu,1,0.8813884,0,false_negative
Whole Foods Markets,O boticÃ¡rio,0,0.9328977,1,false_positive
𝐼𝐂ℬℂ,ICBC,1,0.88947123,0,false_negative
𝚁𝑒𝖛𝕝𝜊𝒏,Revlon,1,0.88207954,0,false_negative
Sⲟ𝜋𝚤𝖈𝔞𝔯𝐞,Sonicare,1,0.9064386,0,false_negative
𝖤ϖ𝓲 ꓢ܁𝘱꘎ᗅ․,Eni S.p.A.,1,0.8992295,0,false_negative
𝙈emo𝖗ex,Memorex,1,0.90115577,0,false_negative
Dentyne,Samsung,0,0.9121748,1,false_positive
𝓗𝖚τ𝓬𝕙𝑖s૦ո 𝕎𝖍𝒶ʍ𝝆𝝾𝕒,Hutchison Whampoa,1,0.91073227,0,false_negative
American Dairy Association,Accu-Chek,0,0.9185506,1,false_positive
𝑶𝕗𝗳ǃ,Off!,1,0.8665463,0,false_negative
𝖬α𝗋k՚𝕤,Mark's,1,0.9021658,0,false_negative
𝗥ం𝒂d ℝunn𝗲r,Road Runner,1,0.88236177,0,false_negative
NASDAQ,Dr. Scholl's,0,0.9228799,1,false_positive
Paper Mate,Bugatti,0,0.91821265,1,false_positive
𝛭ⲅ٠ 𝙋ം𝞽𝞪ᴛ𝞂 Ⲏ𝗲𝕒d,Mr. Potato Head,1,0.89479506,0,false_negative
R𝙚аӀ,Real,1,0.8889153,0,false_negative
ௐ൦ꜱ𝗆ᴏtｅ,Cosmote,1,0.86547554,0,false_negative
𝙎𝓔𝕾,SES,1,0.82629126,0,false_negative
SNS REAAL,FedEx Office,0,0.92288756,1,false_positive
Zagori,Zoloft,0,0.9389132,1,false_positive
𝖧𝖚𝕒 Xіa B𝞪𝗻k,Hua Xia Bank,1,0.9022609,0,false_negative
Ꭺ𝗱ı𝓭ａ𝑠,Adidas,1,0.8909726,0,false_negative
Planned Parenthood,Pineapple Lumps,0,0.9117821,1,false_positive
𝓒𝙤ᴨ𝑛𝒆с𝚝𝔼𝝰ｓ𝛕,ConnectEast,1,0.90833855,0,false_negative
Suzuki,Mercedes-Benz,0,0.9262871,1,false_positive
𝑅ℯlօ𝛼𝘥,Reload,1,0.90526235,0,false_negative
𝑪ⅇ𝟉𝘁𝖚𝒓ｙ ᒿ|,Century 21,1,0.8850034,0,false_negative
Black Label,Tresemme,0,0.91094327,1,false_positive
NA𝕊CАR,NASCAR,1,0.9104698,0,false_negative
𝔎𝙚𝕕ƽ,Keds,1,0.8895134,0,false_negative
Chaumet,deGrisogono,0,0.931442,1,false_positive
Cheez Whiz,Brandchannel,0,0.9235448,1,false_positive
Woolworths,Wing Wah,0,0.92222923,1,false_positive
𝒴as𝔪in,Yasmin,1,0.89717245,0,false_negative
Kikki-K,TJ Maxx,0,0.9216849,1,false_positive
Marcolini,ArcelorMittal,0,0.9143437,1,false_positive
𝓛ꓰ𝑮O,LEGO,1,0.8451218,0,false_negative
Nestea,LEGO,0,0.9374013,1,false_positive
Von Dutch,Looney Tunes,0,0.9161461,1,false_positive
Moet & Chandon,Matebo,0,0.9228458,1,false_positive
HasserÃ¶der,Take5,0,0.92711514,1,false_positive
𝐒e𝙄𝚎𝙘t Ⲥ౦m𝖋੦r𝜏,Select Comfort,1,0.90876937,0,false_negative
Ｓі𝗇g𝐼𝕖𝚜,Singles,1,0.90412694,0,false_negative
𝗛⍺ne𝚜,Hanes,1,0.8706584,0,false_negative
Star Wars,Email Limited,0,0.9110845,1,false_positive
Xigmatek,Marriott,0,0.9249926,1,false_positive
Telegraaf Media Groep,Waitrose,0,0.9121687,1,false_positive
Ꮋｅ𝒍𝖑𝛔 Ⲕ𝕚𝓉τ𝗒,Hello Kitty,1,0.9100222,0,false_negative
Play-Doh,Hello Kitty,0,0.9166452,1,false_positive
𝘔𝚨Ᏼ ℭංr𝘱𝒐𝕣𝗮𝙩ℹ𝖔n,MAB Corporation,1,0.89393014,0,false_negative
ᗞ𝒐le,Dole,1,0.90015084,0,false_negative
Samsung,Kohler,0,0.9280711,1,false_positive
ℳı𝙄l𝔢𝓇,Miller,1,0.8821189,0,false_negative
𝙱r𝜾ꜱ𝚌𝘰,Brisco,1,0.9067862,0,false_negative
𝕸𝒆𝑛𝑎ⲅ𝔡｀ƽ,Menard's,1,0.90177137,0,false_negative
𝒢𝜎၀g𝕴℮,Google,1,0.90778303,0,false_negative
Arla,Apollo,0,0.91749704,1,false_positive
𝖠𝓻l𝗮,Arla,1,0.8874987,0,false_negative
Harris Teeter,Korres,0,0.91164,1,false_positive
El Corte InglÃ©s,Keglevich,0,0.91429526,1,false_positive
Rail Control Systems Australia,Blundstone Footwear,0,0.911154,1,false_positive
Lojas Riachuelo,CitroÃ«n,0,0.9262541,1,false_positive
𝚂ℹ𝖝 𝕱1𝒶ｇs,Six Flags,1,0.9102967,0,false_negative
Raymonds,Tuna Helper,0,0.9125681,1,false_positive
Hummer,Carlsberg,0,0.92203456,1,false_positive
Mitsubishi,Aunt Jemima,0,0.916425,1,false_positive
𝕳ӏ𝟭𝛪𝓼Ꮒ𝘪𝗋𝓮 𝔽𝖆𝓻ʍ,Hillshire Farm,1,0.89698535,0,false_negative
Ϻ𝙪𝟉𝗶ᴄ𝖍 R℮,Munich Re,1,0.9103898,0,false_negative
Ԝ𝑟𝖺𝕟𝕘𝓘𝚎r,Wrangler,1,0.90365183,0,false_negative
Viper,Wrangler,0,0.9231244,1,false_positive
American Idol,Quiznos,0,0.9160638,1,false_positive
Fair and Handsome,Helzberg Diamond,0,0.9256955,1,false_positive
𝙋𝑎ⲥⅰ𝗳ⅰᴄ 𝑺𝘵𝛂𝓇 𝞜е𝒕𝖜𝒐𝙧𝚔 𝖫ɩ𝓶і𝐭ⅇ𝔡,Pacific Star Network Limited,1,0.8967254,0,false_negative
𝖬𝔢g𝖆 ꓚ𝒽an𝝿e𝜤,Mega Channel,1,0.89442426,0,false_negative
𝙈𝖊α𝖽𝗈𝓌 Ⳑе𝛼,Meadow Lea,1,0.9034161,0,false_negative
Marriott,Blistex,0,0.92102313,1,false_positive
Nicorette,Thomasville,0,0.91612595,1,false_positive
𝐌ᴑո𝘰𝑝ంǀy,Monopoly,1,0.90527564,0,false_negative
𝓝𝛔𝓶ı𝙨,Nomis,1,0.8390177,0,false_negative
𝑻ꓦՅ,TV3,1,0.87033784,0,false_negative
𝘚o𝝔𝐫𝞸le,Soprole,1,0.90230674,0,false_negative
Graco,Purell,0,0.93073034,1,false_positive
𝑍ℯnιt𝘩,Zenith,1,0.91042125,0,false_negative
Nissan,Zenith,0,0.92554104,1,false_positive
ɪ𝓣ս𝔫ℯ𝔰,iTunes,1,0.8925973,0,false_negative
𝑯an𝛼 B𝛂nk,Hana Bank,1,0.8813384,0,false_negative
𝑴ust S𝖾e 𝓣V,Must See TV,1,0.90473247,0,false_negative
𝘒α𝙨hi,Kashi,1,0.88018,0,false_negative
M𝞪𝐢пl𝗮ᴨԁ,Mainland,1,0.90915906,0,false_negative
Lindt,Bitburger,0,0.9141112,1,false_positive
𝑳𝙪𝓬𝓀𝘺 𝕃ɑƍeⲅ,Lucky Lager,1,0.8802927,0,false_negative
Antarctica,Lucky Lager,0,0.91542184,1,false_positive
Liquid-Plumr,Red Bull,0,0.9156431,1,false_positive
𝙼𝝸𝚍as,Midas,1,0.8759477,0,false_negative
𝓤BᏚ,UBS,1,0.90780616,0,false_negative
Manwich,Pine O Cleen,0,0.91863257,1,false_positive
𝓥i𝙧𝗴in𝙞𝕒 Ѕ𝖑𝚒𝐦s,Virginia Slims,1,0.8951991,0,false_negative
𝖯𝛂𝖓ason𝚒𝒸,Panasonic,1,0.88091904,0,false_negative
Spotify,Lockheed Martin,0,0.9121834,1,false_positive
𝒜п𝙘𝗵or,Anchor,1,0.90874535,0,false_negative
Nature's Path,Lion Nathan,0,0.9244756,1,false_positive
Tim Hortons,ItaÃº Unibanco,0,0.91918945,1,false_positive
Noggin IT,WD-40,0,0.92589575,1,false_positive
𝑆𝕱𝐑,SFR,1,0.8781025,0,false_negative
𝖡ℯΙ𝔩 𝛢𝞃𝚕𝝰𝚗𝓽𝚒𝘤,Bell Atlantic,1,0.8945586,0,false_negative
𝑺𝚎𝖆𝑟𝓈,Sears,1,0.9072013,0,false_negative
𝖂𝑎𝑙𝐝𝔢πЬｏ𝘰𝛞ｓ,Waldenbooks,1,0.9095938,0,false_negative
𝚳𝑖𝘭𝟣℮πɩ𝜐𝗺 ꝸ 𝐂𝞼𝓹𝛕𝘩σ𝚛𝞏𝚎 𝝜𝜎𝞃𝑒𝙄𝚜,Millenium & Copthorne Hotels,1,0.9069264,0,false_negative
𝔾𝞂𝒐𝕕,Good,1,0.8941533,0,false_negative
Stanley Steemer,Riesen,0,0.92556703,1,false_positive
ℬri𝖉g𝖾𝑠𝔱о𝙣e,Bridgestone,1,0.90718365,0,false_negative
𝐁𝘂𝕤αп 𝐁𝙖𝗇𝛞,Busan Bank,1,0.83938795,0,false_negative
𝕲⍳𝚊ℼ𝒕 𝐄𝘢ｇߊ𝒆,Giant Eagle,1,0.8930092,0,false_negative
Blaupunkt,Novartis,0,0.9109296,1,false_positive
ᒪ𝘪𝒻𝖊𝖘ᴛℽƖ𝖾 𝗖𝚰σ𝜏𝗁𝓮𝔰l𝝸𝟉ℯ𝔰,Lifestyle Clotheslines,1,0.900322,0,false_negative
Naming Articles,Guinness,0,0.9215053,1,false_positive
Ꮷ.Ⲣ܁ ᗰ੦𝐫gɑ𝞹,J.P. Morgan,1,0.90377283,0,false_negative
Pavilion,Chipotle,0,0.9217838,1,false_positive
E𝟈c𝓸t,Epcot,1,0.8820029,0,false_negative
CorningWare,Corelle,0,0.94916534,1,false_positive
5 Second,Yukon,0,0.9184369,1,false_positive
ℙ𝗅𝖾𝕕𝔤e,Pledge,1,0.8752031,0,false_negative
𝐿ɑ,La,1,0.8160008,0,false_negative
Hotmail,Brand Architecture,0,0.91464484,1,false_positive
BCBG,Airbus,0,0.91415244,1,false_positive
Crown Limited,Coles Group Lmt,0,0.9373793,1,false_positive
𝒩𝝰𝛕𝗂𝐨𝜛𝙖𝗜 Αᴜ𝕤𝗍𝓇аⲒ𝙞a Вan𝓴,National Australia Bank,1,0.90496135,0,false_negative
𝐷𝗲𝔁ͺａ,Dexia,1,0.89625204,0,false_negative
ℯBa𝛾,eBay,1,0.9059004,0,false_negative
𝘙E⼃MA𝗫,RE/MAX,1,0.8814534,0,false_negative
𝙎օհ𝓊,Sohu,1,0.9096434,0,false_negative
Hugo Boss,Havainas,0,0.9149695,1,false_positive
𝕀rnpe𝓻𝗂a∣ ଠ𝚤l,Imperial Oil,1,0.90106964,0,false_negative
