BASELINE AUC=0.945044 | thr=0.941874

================================================================================
MODEL deja | AUC=0.953301 | thr=0.965699
================================================================================

[1/4] POSITIVES — MADE BETTER
  cih vs wish | y=1 | base_m=-0.1499 | stu_m=-0.0531 | Δ=0.0968
  eaton vs tweaktown | y=0 | base_m=-0.2229 | stu_m=-0.0743 | Δ=0.1486
  newser vs newhyip | y=0 | base_m=-0.1970 | stu_m=-0.0489 | Δ=0.1481
  usta vs bundestag | y=0 | base_m=-0.1767 | stu_m=-0.0337 | Δ=0.1430
  mobiletest vs amazingbibletruths | y=0 | base_m=-0.1904 | stu_m=-0.0484 | Δ=0.1420
  filmon-network vs vipaffiliatenetwork | y=0 | base_m=-0.1836 | stu_m=-0.0424 | Δ=0.1412
  sifamarket vs domainmarket | y=0 | base_m=-0.2094 | stu_m=-0.0684 | Δ=0.1410
  eleman vs 21wecan | y=0 | base_m=-0.1851 | stu_m=-0.0458 | Δ=0.1393
  sitebar vs fujitsu-webmart | y=0 | base_m=-0.1906 | stu_m=-0.0531 | Δ=0.1375
  bestseller vs assetsdelivery | y=0 | base_m=-0.2002 | stu_m=-0.0635 | Δ=0.1367
  movieo vs poxiao | y=0 | base_m=-0.1824 | stu_m=-0.0469 | Δ=0.1355
  singletracks vs amazingbibletruths | y=0 | base_m=-0.1773 | stu_m=-0.0438 | Δ=0.1335
  unitcom vs aquabitcoin | y=0 | base_m=-0.1690 | stu_m=-0.0363 | Δ=0.1328
  appstudio vs ldmstudio | y=0 | base_m=-0.1745 | stu_m=-0.0420 | Δ=0.1324
  ldmstudio vs appstudio | y=0 | base_m=-0.1745 | stu_m=-0.0420 | Δ=0.1324

================================================================================
MODEL source | AUC=0.953443 | thr=0.965085
================================================================================

[1/4] POSITIVES — MADE BETTER
  cih vs wish | y=1 | base_m=-0.1499 | stu_m=-0.0436 | Δ=0.1063
  chinabvsp vs chinabus | y=1 | base_m=-0.1138 | stu_m=-0.0286 | Δ=0.0852
  atio vs tabio | y=1 | base_m=-0.1183 | stu_m=-0.0336 | Δ=0.0847
  iimo vs yum | y=1 | base_m=-0.0947 | stu_m=-0.0151 | Δ=0.0796
  dkreati vs direct | y=1 | base_m=-0.0937 | stu_m=-0.0161 | Δ=0.0776
  da-h vs yeah | y=1 | base_m=-0.1142 | stu_m=-0.0380 | Δ=0.0762
  maknl-in vs mainlink | y=1 | base_m=-0.0958 | stu_m=-0.0204 | Δ=0.0755
  funba vs fun | y=1 | base_m=-0.1066 | stu_m=-0.0312 | Δ=0.0754
  cařȑɱ vs care | y=1 | base_m=-0.0932 | stu_m=-0.0191 | Δ=0.0741
  aey vs bayer | y=1 | base_m=-0.0947 | stu_m=-0.0216 | Δ=0.0731
  oleb vs klex | y=1 | base_m=-0.1232 | stu_m=-0.0509 | Δ=0.0724
  gŭqtő vs gusto | y=1 | base_m=-0.0653 | stu_m=0.0018 | Δ=0.0671
  mainlino vs mainlink | y=1 | base_m=-0.0832 | stu_m=-0.0161 | Δ=0.0671
  ílmedu vs filmedu | y=1 | base_m=-0.0814 | stu_m=-0.0164 | Δ=0.0650
  cáȓĕ vs care | y=1 | base_m=-0.0735 | stu_m=-0.0086 | Δ=0.0649
  hw vs 66w | y=1 | base_m=-0.0964 | stu_m=-0.0317 | Δ=0.0647
  ilal vs final | y=1 | base_m=-0.0829 | stu_m=-0.0200 | Δ=0.0628
  funbſ vs fun | y=1 | base_m=-0.1005 | stu_m=-0.0379 | Δ=0.0626
  erw vs heb | y=1 | base_m=-0.0798 | stu_m=-0.0177 | Δ=0.0621
  5b21 vs 58921 | y=1 | base_m=-0.0932 | stu_m=-0.0317 | Δ=0.0615

[2/4] POSITIVES — MADE WORSE
  ssae vs satu | y=1 | base_m=0.0155 | stu_m=-0.0165 | Δ=-0.0320
  sibħ vs sib | y=1 | base_m=0.0373 | stu_m=0.0098 | Δ=-0.0275
  saniač vs sinica | y=1 | base_m=0.0198 | stu_m=-0.0075 | Δ=-0.0273
  ćnxskue vs cnxsku | y=1 | base_m=0.0381 | stu_m=0.0111 | Δ=-0.0270
  mtvĺar vs mtvla | y=1 | base_m=0.0318 | stu_m=0.0050 | Δ=-0.0268
  sĥortstackăþp vs shortstackapp | y=1 | base_m=0.0278 | stu_m=0.0012 | Δ=-0.0266
  serveth-ehomme vs servethehome | y=1 | base_m=0.0191 | stu_m=-0.0074 | Δ=-0.0265
  ckfú vs ckfu | y=1 | base_m=0.0464 | stu_m=0.0201 | Δ=-0.0264
  ibhuoj vs ibhejo | y=1 | base_m=0.0375 | stu_m=0.0111 | Δ=-0.0263
  jiluci vs jiluai | y=1 | base_m=0.0293 | stu_m=0.0031 | Δ=-0.0262
  qŝantw vs qwant | y=1 | base_m=0.0374 | stu_m=0.0116 | Δ=-0.0258
  țeeagayu vs temagay | y=1 | base_m=0.0310 | stu_m=0.0053 | Δ=-0.0257
  typingćlùb vs typingclub | y=1 | base_m=0.0343 | stu_m=0.0087 | Δ=-0.0256
  gridÿu vs gridy | y=1 | base_m=0.0303 | stu_m=0.0047 | Δ=-0.0256
  zoppat vs zopa | y=1 | base_m=0.0422 | stu_m=0.0167 | Δ=-0.0256
  sharetṽ vs sharetv | y=1 | base_m=0.0325 | stu_m=0.0071 | Δ=-0.0254
  hŏţmŏmsclub vs hotmomsclub | y=1 | base_m=0.0247 | stu_m=-0.0006 | Δ=-0.0253
  dbqcom vs ebsco | y=1 | base_m=-0.0020 | stu_m=-0.0273 | Δ=-0.0253
  vṽabspoon vs webspoon | y=1 | base_m=0.0313 | stu_m=0.0061 | Δ=-0.0253
  hbcjinsez vs hbchinese | y=1 | base_m=0.0244 | stu_m=-0.0008 | Δ=-0.0252

[3/4] NEGATIVES — MADE BETTER
  womai vs wizaz | y=0 | base_m=-0.0067 | stu_m=-0.0419 | Δ=-0.0352
  fitsmallbusiness vs smartbusiness | y=0 | base_m=0.0131 | stu_m=-0.0199 | Δ=-0.0330
  smartbusiness vs fitsmallbusiness | y=0 | base_m=0.0131 | stu_m=-0.0199 | Δ=-0.0330
  rateyourmusic vs katalogpromosi | y=0 | base_m=-0.0156 | stu_m=-0.0471 | Δ=-0.0316
  sonicch vs sonicraid | y=0 | base_m=-0.0020 | stu_m=-0.0315 | Δ=-0.0295
  sdu vs sdge | y=0 | base_m=0.0073 | stu_m=-0.0219 | Δ=-0.0292
  rnrmarketresearch vs therapeuticresearch | y=0 | base_m=0.0029 | stu_m=-0.0258 | Δ=-0.0287
  sssc vs slsp | y=0 | base_m=0.0168 | stu_m=-0.0115 | Δ=-0.0282
  slsp vs szse | y=0 | base_m=0.0090 | stu_m=-0.0190 | Δ=-0.0280
  szse vs slsp | y=0 | base_m=0.0090 | stu_m=-0.0190 | Δ=-0.0280
  aplia vs apergia | y=0 | base_m=-0.0005 | stu_m=-0.0284 | Δ=-0.0279
  glock vs g-shock | y=0 | base_m=0.0207 | stu_m=-0.0065 | Δ=-0.0272
  af vs aq | y=0 | base_m=0.0260 | stu_m=-0.0007 | Δ=-0.0267
  kibrisgazetesi vs kocaeligazetesi | y=0 | base_m=0.0269 | stu_m=0.0004 | Δ=-0.0265
  kocaeligazetesi vs kibrisgazetesi | y=0 | base_m=0.0269 | stu_m=0.0004 | Δ=-0.0265
  s10000 vs 17500 | y=0 | base_m=-0.0099 | stu_m=-0.0363 | Δ=-0.0264
  bcf vs bcb | y=0 | base_m=0.0224 | stu_m=-0.0039 | Δ=-0.0263
  sf vs srf | y=0 | base_m=0.0354 | stu_m=0.0092 | Δ=-0.0262
  similartech vs similarsitesearch | y=0 | base_m=0.0290 | stu_m=0.0028 | Δ=-0.0261
  world4free vs worldrugby | y=0 | base_m=0.0004 | stu_m=-0.0257 | Δ=-0.0261

[4/4] NEGATIVES — MADE WORSE
  lh vs 38 | y=0 | base_m=-0.2336 | stu_m=-0.0457 | Δ=0.1880
  eaton vs tweaktown | y=0 | base_m=-0.2229 | stu_m=-0.0541 | Δ=0.1688
  yfsmagazine vs hellomagazine | y=0 | base_m=-0.2182 | stu_m=-0.0507 | Δ=0.1676
  macherie vs watchseriesus | y=0 | base_m=-0.2088 | stu_m=-0.0542 | Δ=0.1546
  hm vs 38 | y=0 | base_m=-0.1904 | stu_m=-0.0392 | Δ=0.1512
  zerotheme vs teslathemes | y=0 | base_m=-0.2066 | stu_m=-0.0565 | Δ=0.1500
  newser vs newhyip | y=0 | base_m=-0.1970 | stu_m=-0.0510 | Δ=0.1459
  eleman vs 21wecan | y=0 | base_m=-0.1851 | stu_m=-0.0442 | Δ=0.1409
  iastate vs westbyte | y=0 | base_m=-0.1922 | stu_m=-0.0515 | Δ=0.1407
  materialup vs watchseriesus | y=0 | base_m=-0.1837 | stu_m=-0.0443 | Δ=0.1394
  movieo vs poxiao | y=0 | base_m=-0.1824 | stu_m=-0.0432 | Δ=0.1392
  maadiran vs davidyurman | y=0 | base_m=-0.1769 | stu_m=-0.0389 | Δ=0.1381
  sifamarket vs domainmarket | y=0 | base_m=-0.2094 | stu_m=-0.0729 | Δ=0.1366
  amc vs fmprc | y=0 | base_m=-0.1898 | stu_m=-0.0541 | Δ=0.1357
  radiolab vs gratisnovelas | y=0 | base_m=-0.1892 | stu_m=-0.0547 | Δ=0.1345
  appstudio vs ldmstudio | y=0 | base_m=-0.1745 | stu_m=-0.0411 | Δ=0.1334
  ldmstudio vs appstudio | y=0 | base_m=-0.1745 | stu_m=-0.0411 | Δ=0.1334
  mobiletest vs amazingbibletruths | y=0 | base_m=-0.1904 | stu_m=-0.0572 | Δ=0.1332
  eletsonline vs upsrtconline | y=0 | base_m=-0.1683 | stu_m=-0.0366 | Δ=0.1317
  aacounty vs 211sbcounty | y=0 | base_m=-0.1717 | stu_m=-0.0404 | Δ=0.1313

================================================================================
MODEL pacifico | AUC=0.953195 | thr=0.965439
================================================================================

[1/4] POSITIVES — MADE BETTER
  chinabvsp vs chinabus | y=1 | base_m=-0.1138 | stu_m=-0.0131 | Δ=0.1007
  oleb vs klex | y=1 | base_m=-0.1232 | stu_m=-0.0246 | Δ=0.0986
  cih vs wish | y=1 | base_m=-0.1499 | stu_m=-0.0591 | Δ=0.0908
  funba vs fun | y=1 | base_m=-0.1066 | stu_m=-0.0227 | Δ=0.0839
  atio vs tabio | y=1 | base_m=-0.1183 | stu_m=-0.0407 | Δ=0.0776
  da-h vs yeah | y=1 | base_m=-0.1142 | stu_m=-0.0369 | Δ=0.0773
  ílmedu vs filmedu | y=1 | base_m=-0.0814 | stu_m=-0.0044 | Δ=0.0769
  maknl-in vs mainlink | y=1 | base_m=-0.0958 | stu_m=-0.0221 | Δ=0.0738
  iimo vs yum | y=1 | base_m=-0.0947 | stu_m=-0.0243 | Δ=0.0704
  funbſ vs fun | y=1 | base_m=-0.1005 | stu_m=-0.0304 | Δ=0.0701
  5b21 vs 58921 | y=1 | base_m=-0.0932 | stu_m=-0.0236 | Δ=0.0696
  cařȑɱ vs care | y=1 | base_m=-0.0932 | stu_m=-0.0247 | Δ=0.0685
  wxcoo vs schoo | y=1 | base_m=-0.1012 | stu_m=-0.0334 | Δ=0.0678
  aey vs bayer | y=1 | base_m=-0.0947 | stu_m=-0.0269 | Δ=0.0678
  socialanberp vs socialancer | y=1 | base_m=-0.0907 | stu_m=-0.0230 | Δ=0.0676
  ilal vs final | y=1 | base_m=-0.0829 | stu_m=-0.0158 | Δ=0.0671
  urrs vs um | y=1 | base_m=-0.0856 | stu_m=-0.0188 | Δ=0.0668
  dkreati vs direct | y=1 | base_m=-0.0937 | stu_m=-0.0273 | Δ=0.0664
  cls vs bcbs | y=1 | base_m=-0.0914 | stu_m=-0.0251 | Δ=0.0663
  flsy vs dl | y=1 | base_m=-0.0925 | stu_m=-0.0272 | Δ=0.0653

[2/4] POSITIVES — MADE WORSE
  hbcjinsez vs hbchinese | y=1 | base_m=0.0244 | stu_m=-0.0052 | Δ=-0.0296
  egyptladìes vs egyptladies | y=1 | base_m=0.0245 | stu_m=-0.0017 | Δ=-0.0262
  koɱmĥyo vs komehyo | y=1 | base_m=0.0423 | stu_m=0.0163 | Δ=-0.0260
  hrrveysfurnittre vs harveysfurniture | y=1 | base_m=0.0328 | stu_m=0.0068 | Δ=-0.0260
  samplelĕvtevsworld vs samplelettersworld | y=1 | base_m=0.0336 | stu_m=0.0076 | Δ=-0.0260
  typingćlùb vs typingclub | y=1 | base_m=0.0343 | stu_m=0.0085 | Δ=-0.0258
  typingclȗc vs typingclub | y=1 | base_m=0.0413 | stu_m=0.0157 | Δ=-0.0256
  g1yp vs gyyx | y=1 | base_m=0.0347 | stu_m=0.0092 | Δ=-0.0255
  sġscőųt vs sgscout | y=1 | base_m=0.0338 | stu_m=0.0083 | Δ=-0.0255
  vedvwm vs vetv | y=1 | base_m=0.0285 | stu_m=0.0031 | Δ=-0.0254
  icbpit vs icbpi | y=1 | base_m=0.0467 | stu_m=0.0213 | Δ=-0.0254
  Ŵhatdopheŷknow vs whatdotheyknow | y=1 | base_m=0.0321 | stu_m=0.0068 | Δ=-0.0253
  bđnews24t vs bdnews24 | y=1 | base_m=0.0409 | stu_m=0.0157 | Δ=-0.0253
  cfĺı vs cfdi | y=1 | base_m=0.0266 | stu_m=0.0014 | Δ=-0.0252
  whaťċounts vs whatcounts | y=1 | base_m=0.0298 | stu_m=0.0046 | Δ=-0.0252
  itris vs itri | y=1 | base_m=0.0354 | stu_m=0.0102 | Δ=-0.0252
  asrnnet vs asmnet | y=1 | base_m=0.0445 | stu_m=0.0194 | Δ=-0.0251
  qp vs cfp | y=1 | base_m=0.0155 | stu_m=-0.0095 | Δ=-0.0251
  sĥortstackăþp vs shortstackapp | y=1 | base_m=0.0278 | stu_m=0.0028 | Δ=-0.0250
  myfîschtenjis vs mytischtennis | y=1 | base_m=0.0308 | stu_m=0.0059 | Δ=-0.0249

[3/4] NEGATIVES — MADE BETTER
  smartbusiness vs fitsmallbusiness | y=0 | base_m=0.0131 | stu_m=-0.0179 | Δ=-0.0310
  fitsmallbusiness vs smartbusiness | y=0 | base_m=0.0131 | stu_m=-0.0179 | Δ=-0.0310
  game37 vs game333 | y=0 | base_m=0.0395 | stu_m=0.0124 | Δ=-0.0272
  game333 vs game37 | y=0 | base_m=0.0395 | stu_m=0.0124 | Δ=-0.0272
  rateyourmusic vs katalogpromosi | y=0 | base_m=-0.0156 | stu_m=-0.0419 | Δ=-0.0263
  epsb vs engsub | y=0 | base_m=-0.0053 | stu_m=-0.0315 | Δ=-0.0262
  kocaeligazetesi vs kibrisgazetesi | y=0 | base_m=0.0269 | stu_m=0.0009 | Δ=-0.0260
  kibrisgazetesi vs kocaeligazetesi | y=0 | base_m=0.0269 | stu_m=0.0009 | Δ=-0.0260
  glock vs g-shock | y=0 | base_m=0.0207 | stu_m=-0.0051 | Δ=-0.0259
  rnrmarketresearch vs therapeuticresearch | y=0 | base_m=0.0029 | stu_m=-0.0229 | Δ=-0.0258
  forexmart vs pornsexwank | y=0 | base_m=0.0025 | stu_m=-0.0227 | Δ=-0.0252
  icruise vs iglucruise | y=0 | base_m=0.0227 | stu_m=-0.0024 | Δ=-0.0251
  iglucruise vs icruise | y=0 | base_m=0.0227 | stu_m=-0.0024 | Δ=-0.0251
  sonicch vs sonicraid | y=0 | base_m=-0.0020 | stu_m=-0.0269 | Δ=-0.0248
  sfda vs sfd | y=0 | base_m=0.0402 | stu_m=0.0155 | Δ=-0.0247
  sfd vs sfda | y=0 | base_m=0.0402 | stu_m=0.0155 | Δ=-0.0247
  xmovies1 vs xmoviesforyou | y=0 | base_m=0.0380 | stu_m=0.0133 | Δ=-0.0246
  youx vs yoyv | y=0 | base_m=0.0102 | stu_m=-0.0143 | Δ=-0.0245
  xn--igbhe7b5a3d5a vs xn--b1aecn3adibka9mra | y=0 | base_m=0.0471 | stu_m=0.0226 | Δ=-0.0244
  52waha vs 52watch | y=0 | base_m=0.0215 | stu_m=-0.0029 | Δ=-0.0244

[4/4] NEGATIVES — MADE WORSE
  lh vs 38 | y=0 | base_m=-0.2336 | stu_m=-0.0388 | Δ=0.1949
  yfsmagazine vs hellomagazine | y=0 | base_m=-0.2182 | stu_m=-0.0562 | Δ=0.1621
  eleman vs 21wecan | y=0 | base_m=-0.1851 | stu_m=-0.0327 | Δ=0.1524
  zerotheme vs teslathemes | y=0 | base_m=-0.2066 | stu_m=-0.0550 | Δ=0.1516
  sifamarket vs domainmarket | y=0 | base_m=-0.2094 | stu_m=-0.0593 | Δ=0.1501
  macherie vs watchseriesus | y=0 | base_m=-0.2088 | stu_m=-0.0612 | Δ=0.1476
  iastate vs westbyte | y=0 | base_m=-0.1922 | stu_m=-0.0454 | Δ=0.1468
  hm vs 38 | y=0 | base_m=-0.1904 | stu_m=-0.0456 | Δ=0.1448
  eaton vs tweaktown | y=0 | base_m=-0.2229 | stu_m=-0.0819 | Δ=0.1410
  maadiran vs davidyurman | y=0 | base_m=-0.1769 | stu_m=-0.0368 | Δ=0.1402
  newser vs newhyip | y=0 | base_m=-0.1970 | stu_m=-0.0591 | Δ=0.1378
  materialup vs watchseriesus | y=0 | base_m=-0.1837 | stu_m=-0.0459 | Δ=0.1378
  usta vs bundestag | y=0 | base_m=-0.1767 | stu_m=-0.0389 | Δ=0.1378
  filmon-network vs vipaffiliatenetwork | y=0 | base_m=-0.1836 | stu_m=-0.0459 | Δ=0.1377
  sitebar vs fujitsu-webmart | y=0 | base_m=-0.1906 | stu_m=-0.0597 | Δ=0.1310
  appstudio vs ldmstudio | y=0 | base_m=-0.1745 | stu_m=-0.0446 | Δ=0.1299
  ldmstudio vs appstudio | y=0 | base_m=-0.1745 | stu_m=-0.0446 | Δ=0.1299
  marketplace vs worldmarketexplorer | y=0 | base_m=-0.1745 | stu_m=-0.0449 | Δ=0.1296
  eletsonline vs upsrtconline | y=0 | base_m=-0.1683 | stu_m=-0.0392 | Δ=0.1291
  movieo vs poxiao | y=0 | base_m=-0.1824 | stu_m=-0.0539 | Δ=0.1286

